a 	啊	c=36 d=1.2806 t=40209
ba bai ban 	八佰伴	c=1 d=0.0005 t=76495
ba chi 	把持	c=1 d=0.5846 t=3923
ba dian 	八点	c=1 d=1.4164 t=3923
ba ga 	八嘎	c=1 d=0.5994 t=3923
ba gu wen 	八股文	c=6 d=0.0005 t=76495
ba gua 	八卦	c=2 d=1.0247 t=76495
ba hao xian 	八號線	c=1 d=0.0005 t=76495
ba huo guan 	拔火罐	c=1 d=0.0005 t=76495
ba ji si tan 	巴基斯坦	c=1 d=0.0005 t=76495
ba jiu dian 	八九點	c=1 d=0.5540 t=76495
ba kong 	把控	c=4 d=0.0005 t=76495
ba le 	罢了	c=1 d=0.0019 t=3923
ba na 	把那	c=0 d=0.0005 t=76495
ba na ge 	把那個	c=1 d=0.0005 t=76495
ba ni 	把你	c=4 d=1.1906 t=76495
ba ni de 	把你的	c=2 d=0.0005 t=76495
ba ni men 	把你们	c=1 d=0.0005 t=76495
ba qian 	把钱	c=0 d=0.1388 t=3923
ba qu 	八區	c=1 d=0.0005 t=76495
ba shi jian 	把时间	c=1 d=0.3208 t=3923
ba ta 	把他	c=2 d=2.3002 t=3923
ba ta 	把她	c=1 d=0.0005 t=76495
ba ta 	把它	c=11 d=0.6962 t=40209
ba tian 	八天	c=1 d=0.0005 t=76495
ba wo 	把我	c=4 d=0.0210 t=40209
ba wo 	把握	c=2 d=0.0209 t=40209
ba wo men 	把我们	c=1 d=0.0005 t=76495
ba xi 	巴西	c=1 d=0.0005 t=76495
ba yue di 	八月底	c=1 d=0.0005 t=76495
ba zhe ge 	把这个	c=3 d=0.0062 t=76495
ba zhe li 	把这里	c=1 d=0.0005 t=76495
ba zhe xie 	把這些	c=1 d=0.0005 t=76495
ba zi 	巴子	c=0 d=0.0005 t=76495
bai 	白	c=2 d=0.0201 t=40209
bai 	百	c=1 d=1.7043 t=3923
bai de 	白的	c=0 d=0.0005 t=76495
bai du 	百度	c=5 d=0.0005 t=76495
bai du tie ba 	百度貼吧	c=1 d=0.0005 t=76495
bai fen bi 	白粉筆	c=1 d=0.0005 t=76495
bai fen bi 	百分比	c=2 d=0.0005 t=76495
bai jiang le 	白讲了	c=1 d=0.0005 t=76495
bai lai kuai 	百來塊	c=1 d=0.0010 t=76495
bai ling 	白領	c=1 d=0.0005 t=76495
bai ma 	白馬	c=0 d=0.1953 t=76495
bai ma 	白马	c=0 d=0.1238 t=3923
bai ma hui suo 	白马会所	c=1 d=1.2438 t=3923
bai ma yi cong 	白馬義從	c=1 d=1.9629 t=76495
bai mang huo 	白忙活	c=1 d=0.0586 t=3923
bai ming dan 	白名单	c=2 d=0.0005 t=76495
bai piao 	拜票	c=1 d=0.0005 t=76495
bai piao 	白嫖	c=11 d=0.8188 t=40209
bai piao dang 	白嫖党	c=1 d=0.0005 t=76495
bai piao guai 	白嫖怪	c=3 d=0.0005 t=76495
bai ren 	白人	c=2 d=0.0005 t=76495
bai tian 	白天	c=1 d=1.8766 t=76495
bai tuo 	擺脫	c=2 d=0.0005 t=76495
bai tuo le 	拜託了	c=1 d=0.0005 t=76495
bai wan 	百萬	c=3 d=0.0005 t=76495
bai wu chang 	白無常	c=1 d=0.0005 t=76495
bai yun dou 	白芸豆	c=1 d=0.1436 t=76495
ban 	半	c=4 d=0.0303 t=76495
ban 	搬	c=2 d=0.0005 t=76495
ban 	版	c=8 d=4.7345 t=40209
ban 	班	c=1 d=2.8135 t=76495
ban 	辦	c=2 d=0.0005 t=76495
ban ben 	版本	c=87 d=10.7868 t=40209
ban ben hao 	版本號	c=2 d=0.0005 t=76495
ban bu 	搬不	c=1 d=0.0005 t=76495
ban bu 	頒佈	c=1 d=0.0005 t=76495
ban bu cheng 	辦不成	c=1 d=0.0134 t=76495
ban dao 	搬到	c=4 d=3.3295 t=40209
ban fa 	辦法	c=5 d=0.0005 t=76495
ban fen zhong 	半分鐘	c=1 d=0.0005 t=76495
ban gong 	辦公	c=1 d=0.0005 t=76495
ban gong shi 	辦公室	c=2 d=0.0005 t=76495
ban guo lai 	搬过来	c=1 d=0.0005 t=76495
ban jin ba liang 	半斤八兩	c=1 d=0.3658 t=76495
ban ka 	辦卡	c=1 d=0.0005 t=76495
ban li 	辦理	c=7 d=3.9135 t=76495
ban mian 	板面	c=1 d=0.0005 t=76495
ban nian 	半年	c=3 d=0.0211 t=40209
ban shu 	半數	c=1 d=0.0005 t=76495
ban si 	半死	c=0 d=0.0005 t=76495
ban si bu guo 	半死不過	c=1 d=0.0005 t=76495
ban tian 	半天	c=1 d=0.0022 t=76495
ban xia 	半夏	c=0 d=0.0697 t=76495
ban xia lian 	半夏戀	c=1 d=0.7008 t=76495
ban xiao shi 	半小時	c=5 d=0.0005 t=76495
ban yi xia 	搬一下	c=1 d=0.0005 t=76495
ban yun 	搬運	c=2 d=0.0005 t=76495
ban zhuan 	搬砖	c=2 d=0.0007 t=76495
ban zhuan 	板磚	c=1 d=0.0005 t=76495
ban zhuan ba 	板磚把	c=1 d=0.0005 t=76495
bang 	傍	c=0 d=0.1282 t=3923
bang 	帮	c=1 d=0.0364 t=3923
bang 	綁	c=2 d=0.0005 t=76495
bang 	邦	c=3 d=0.0005 t=76495
bang ding 	綁定	c=27 d=0.3369 t=76495
bang ding 	绑定	c=5 d=0.4181 t=3923
bang fu po 	傍富婆	c=1 d=1.2881 t=3923
bang lian 	邦聯	c=1 d=0.0005 t=76495
bang mang 	帮忙	c=1 d=0.0775 t=3923
bang mang 	幫忙	c=14 d=1.2053 t=76495
bang ni 	帮你	c=1 d=1.9900 t=3923
bang ni 	幫你	c=7 d=1.3491 t=76495
bang ta 	幫他	c=3 d=0.0089 t=76495
bang wo 	帮我	c=1 d=0.1068 t=3923
bang wo 	幫我	c=4 d=3.7041 t=76495
bang zhi jian 	邦之間	c=1 d=0.0005 t=76495
bang zhu 	幫助	c=3 d=0.1339 t=76495
bang zi 	磅子	c=1 d=1.7214 t=3923
bang zi 	膀子	c=1 d=0.5645 t=3923
bao 	包	c=52 d=7.8971 t=40209
bao 	報	c=14 d=2.7304 t=76495
bao 	宝	c=1 d=0.0175 t=3923
bao 	寶	c=0 d=0.0165 t=76495
bao 	爆	c=1 d=0.0005 t=76495
bao 	飽	c=0 d=0.0005 t=76495
bao an 	保安	c=2 d=0.0005 t=76495
bao bian liang 	包變量	c=4 d=0.0005 t=76495
bao bu liao 	報不了	c=1 d=0.0008 t=76495
bao bu liao cu o 	包不了粗哦	c=1 d=0.0008 t=76495
bao chi 	保持	c=5 d=0.1826 t=76495
bao chu 	報出	c=2 d=0.0005 t=76495
bao chu lai 	報出來	c=1 d=0.0005 t=76495
bao chu lai 	抱出來	c=8 d=0.0005 t=76495
bao chu qu 	報出去	c=1 d=0.0005 t=76495
bao cun 	保存	c=21 d=0.0614 t=76495
bao cun 	抱存	c=1 d=0.0005 t=76495
bao cuo 	報錯	c=44 d=0.3116 t=76495
bao cuo 	报错	c=2 d=0.0024 t=3923
bao cuo dian 	報錯點	c=1 d=0.0005 t=76495
bao cuo la 	报错啦	c=1 d=0.0005 t=76495
bao de 	報的	c=7 d=0.0005 t=76495
bao de ba 	報的吧	c=1 d=0.0005 t=76495
bao de cuo 	报的错	c=2 d=0.0005 t=76495
bao di 	保底	c=1 d=0.0005 t=76495
bao di 	寶地	c=1 d=0.0005 t=76495
bao di zhi 	包地址	c=1 d=0.1261 t=76495
bao ding 	保定	c=1 d=0.0005 t=76495
bao fa 	爆發	c=2 d=0.0005 t=76495
bao fu 	報復	c=2 d=0.0005 t=76495
bao fu 	飽腹	c=1 d=0.0005 t=76495
bao gao 	報告	c=7 d=3.4364 t=76495
bao guan li 	包管理	c=1 d=0.9043 t=76495
bao guo 	包裹	c=9 d=0.7769 t=76495
bao han 	包含	c=14 d=0.0241 t=40209
bao han 	包涵	c=1 d=0.0005 t=76495
bao hao le 	包好了	c=1 d=0.0005 t=76495
bao hong 	報紅	c=1 d=0.2069 t=76495
bao hu 	保護	c=2 d=0.0005 t=76495
bao ji 	包級	c=1 d=0.0005 t=76495
bao jiang 	爆漿	c=1 d=0.0005 t=76495
bao jing 	報警	c=2 d=0.0005 t=76495
bao kuo 	包括	c=6 d=0.0005 t=76495
bao le 	报了	c=1 d=0.0005 t=76495
bao le 	爆了	c=1 d=0.0005 t=76495
bao lei 	堡壘	c=0 d=0.0005 t=76495
bao lei 	暴雷	c=1 d=0.0005 t=76495
bao lei ji 	堡壘機	c=3 d=0.0005 t=76495
bao li 	保利	c=1 d=0.0005 t=76495
bao li 	暴利	c=1 d=0.0005 t=76495
bao li 	暴力	c=2 d=0.0005 t=76495
bao liu 	保留	c=19 d=1.4932 t=40209
bao liu zhe 	保留着	c=1 d=0.0005 t=76495
bao lu 	暴露	c=4 d=0.0012 t=76495
bao ming 	包名	c=7 d=0.0005 t=76495
bao rong xing 	包容性	c=1 d=0.0005 t=76495
bao xiao 	報銷	c=1 d=0.0005 t=76495
bao yi xia 	包一下	c=1 d=0.0005 t=76495
bao ying 	報應	c=0 d=0.0005 t=76495
bao ying hao 	報應好	c=1 d=0.0005 t=76495
bao zao 	暴躁	c=1 d=0.0005 t=76495
bao zha 	包紮	c=1 d=0.0005 t=76495
bao zha 	爆炸	c=1 d=0.0005 t=76495
bao zheng 	保證	c=10 d=0.0022 t=76495
bao zhuang 	包裝	c=3 d=0.0005 t=76495
bei 	倍	c=3 d=0.0005 t=76495
bei 	北	c=1 d=0.0005 t=76495
bei 	唄	c=8 d=1.0046 t=76495
bei 	盃	c=0 d=0.0005 t=76495
bei 	背	c=8 d=0.0528 t=76495
bei 	被	c=143 d=6.8308 t=40209
bei 	貝	c=1 d=0.0005 t=76495
bei an 	備案	c=2 d=0.0008 t=76495
bei de 	背的	c=1 d=0.0005 t=76495
bei dong 	被动	c=2 d=2.5045 t=3923
bei dong 	被動	c=32 d=0.6699 t=76495
bei fang 	北房	c=1 d=0.0005 t=76495
bei fang 	北方	c=1 d=0.0005 t=76495
bei fen 	備份	c=0 d=0.0005 t=76495
bei ge li 	被隔离	c=1 d=0.0002 t=3923
bei guan 	悲觀	c=1 d=0.0005 t=76495
bei jiao suo 	北交所	c=1 d=0.3196 t=76495
bei jing 	北京	c=13 d=5.2132 t=40209
bei jing 	背景	c=6 d=0.0018 t=76495
bei jing se 	背景色	c=1 d=0.0632 t=3923
bei jing shi 	北京市	c=3 d=3.4047 t=76495
bei la 	被拉	c=1 d=0.0005 t=76495
bei la hei 	被拉黑	c=5 d=0.0005 t=76495
bei mei zhou 	北美洲	c=1 d=0.0005 t=76495
bei ni 	被你	c=1 d=0.0005 t=76495
bei piao 	北漂	c=2 d=0.0005 t=76495
bei po 	被迫	c=2 d=1.7660 t=40209
bei ren 	背人	c=1 d=0.0005 t=76495
bei ru 	被褥	c=1 d=0.0005 t=76495
bei shan 	被刪	c=1 d=0.0005 t=76495
bei shan chu 	被刪除	c=4 d=0.0005 t=76495
bei shang 	北上	c=1 d=0.7284 t=3923
bei shang guang 	北上廣	c=0 d=0.0005 t=76495
bei shang guang shen 	北上廣深	c=1 d=0.0005 t=76495
bei shu 	倍數	c=1 d=0.0005 t=76495
bei ta 	被他	c=2 d=0.0239 t=76495
bei tai 	備胎	c=1 d=0.0005 t=76495
bei ti 	被踢	c=1 d=0.0005 t=76495
bei ti chu 	被踢出	c=1 d=0.0005 t=76495
bei ti chu qun 	被踢出群	c=1 d=0.0005 t=76495
bei xin 	被芯	c=1 d=0.0005 t=76495
bei ying 	背影	c=1 d=0.0592 t=3923
bei you 	北郵	c=1 d=0.0051 t=76495
bei yun 	備孕	c=1 d=0.0662 t=76495
bei zhu 	備註	c=36 d=2.1919 t=76495
bei zhu 	备注	c=3 d=0.0268 t=3923
bei zhu ce 	被註冊	c=1 d=0.0005 t=76495
bei zhu ming 	備註名	c=5 d=1.7943 t=76495
bei zhu ming xian shi 	備註名顯示	c=1 d=0.6733 t=76495
bei zhu ru 	被注入	c=1 d=0.0005 t=76495
ben 	本	c=2 d=0.0412 t=76495
ben 	笨	c=1 d=0.0005 t=76495
ben ceng 	本層	c=1 d=0.0005 t=76495
ben ci 	本次	c=3 d=0.0962 t=40209
ben di 	本地	c=45 d=1.9149 t=76495
ben di fu 	本地服	c=1 d=0.0005 t=76495
ben ji 	本機	c=2 d=0.0005 t=76495
ben la deng 	本拉登	c=1 d=0.0005 t=76495
ben lai 	本來	c=27 d=2.6104 t=76495
ben lai 	本来	c=3 d=1.1031 t=3923
ben lun 	本輪	c=1 d=0.0005 t=76495
ben ren 	本人	c=2 d=4.9256 t=76495
ben shen 	本身	c=6 d=0.0005 t=76495
ben sheng 	本生	c=1 d=0.0005 t=76495
ben shi 	本事	c=2 d=0.0005 t=76495
ben xiang mu 	本項目	c=1 d=0.0005 t=76495
ben xiao shi 	本小時	c=1 d=0.4145 t=76495
ben yi 	本意	c=1 d=0.0137 t=3923
ben zhi 	本質	c=2 d=1.8775 t=76495
ben zhi shang 	本質上	c=1 d=3.6126 t=76495
beng 	崩	c=6 d=0.0005 t=76495
beng kui 	崩潰	c=1 d=0.0005 t=76495
beng le 	崩了	c=2 d=2.3151 t=76495
beng pao 	崩跑	c=1 d=0.0005 t=76495
bi 	幣	c=5 d=0.0005 t=76495
bi 	必	c=1 d=0.0005 t=76495
bi 	比	c=12 d=6.0485 t=40209
bi 	毕	c=1 d=0.0002 t=3923
bi bi 	哔哔	c=1 d=0.0005 t=76495
bi bi lai lai 	哔哔癩癩	c=1 d=0.0005 t=76495
bi bi lai lai 	哔哔賴賴	c=1 d=0.0005 t=76495
bi bing 	弊病	c=1 d=0.0005 t=76495
bi bu liao ye 	毕不了业	c=1 d=0.0005 t=76495
bi cheng 	逼成	c=1 d=0.0005 t=76495
bi chuan 	必传	c=1 d=0.0018 t=3923
bi chuan 	必傳	c=4 d=0.0005 t=76495
bi ding 	吡啶	c=1 d=0.0005 t=76495
bi ding 	必定	c=4 d=0.0005 t=76495
bi dui 	比對	c=5 d=0.0011 t=76495
bi hao yu 	畢浩宇	c=1 d=0.0005 t=76495
bi hu 	壁虎	c=1 d=0.0005 t=76495
bi ji 	筆記	c=1 d=0.0005 t=76495
bi ji lei 	筆記類	c=1 d=0.0005 t=76495
bi jiao 	比較	c=28 d=0.8678 t=76495
bi jiao 	比较	c=7 d=2.2466 t=3923
bi jiao da 	比較大	c=1 d=0.0005 t=76495
bi jiao duo 	比較多	c=2 d=0.0005 t=76495
bi jiao duo 	比较多	c=3 d=2.1493 t=3923
bi jiao hao 	比較好	c=2 d=0.0005 t=76495
bi jiao lang 	比較浪	c=1 d=0.0005 t=76495
bi jiao shao 	比較少	c=1 d=0.0005 t=76495
bi jiao wen 	比較穩	c=1 d=0.0005 t=76495
bi jiao zi you 	比較自由	c=1 d=0.0005 t=76495
bi jing 	畢竟	c=10 d=0.9507 t=76495
bi kai 	避開	c=1 d=0.0005 t=76495
bi li 	比例	c=2 d=0.0005 t=76495
bi li bi li 	哔哩哔哩	c=1 d=0.9590 t=3923
bi lv 	比率	c=1 d=0.0005 t=76495
bi mian 	避免	c=0 d=0.0005 t=76495
bi ni 	比你	c=2 d=0.0005 t=76495
bi ni de 	比你的	c=1 d=0.0005 t=76495
bi qi 	比起	c=4 d=0.0005 t=76495
bi quan 	币圈	c=2 d=0.0005 t=76495
bi ran 	必然	c=1 d=0.0005 t=76495
bi ru 	比如	c=11 d=1.7941 t=76495
bi shu 	逼数	c=1 d=0.0005 t=76495
bi shui 	避稅	c=1 d=0.0005 t=76495
bi ta 	比他	c=1 d=1.6298 t=40209
bi te bi 	比特币	c=1 d=0.0005 t=76495
bi tian 	必填	c=2 d=0.1451 t=76495
bi tian xiang 	必填项	c=2 d=0.0005 t=76495
bi wen 	逼問	c=1 d=0.0005 t=76495
bi wo 	比我	c=5 d=0.0005 t=76495
bi xian 	必現	c=2 d=0.0005 t=76495
bi xu 	必須	c=16 d=8.8251 t=76495
bi xu 	必须	c=2 d=0.8479 t=3923
bi xu de 	必須的	c=1 d=0.0005 t=76495
bi xu yao 	必须要	c=1 d=0.0997 t=76495
bi yao 	必要	c=6 d=0.0005 t=76495
bi ye 	畢業	c=4 d=0.0005 t=76495
bi ye zheng 	畢業證	c=1 d=0.0005 t=76495
bi yi qian 	比以前	c=1 d=0.0005 t=76495
bi zhuang 	必裝	c=2 d=0.0005 t=76495
bi zi ji 	比自己	c=1 d=0.0005 t=76495
bi zui 	閉嘴	c=1 d=0.0005 t=76495
bian 	扁	c=3 d=0.0055 t=40209
bian 	編	c=1 d=0.0005 t=76495
bian 	變	c=7 d=0.0005 t=76495
bian 	遍	c=1 d=0.0005 t=76495
bian 	邊	c=4 d=0.0005 t=76495
bian cheng 	編程	c=2 d=0.0005 t=76495
bian cheng 	编程	c=1 d=0.0610 t=3923
bian cheng 	變成	c=5 d=0.0005 t=76495
bian cu 	鞭促	c=1 d=1.6050 t=3923
bian dao 	變到	c=1 d=0.0005 t=76495
bian de 	變得	c=1 d=0.0005 t=76495
bian geng 	變更	c=74 d=3.1579 t=76495
bian geng ne guo 	變更呢過	c=2 d=1.7761 t=76495
bian hao 	編號	c=6 d=0.0005 t=76495
bian hua 	變化	c=5 d=0.0005 t=76495
bian ji 	編輯	c=5 d=0.0005 t=76495
bian jie 	邊界	c=2 d=0.0005 t=76495
bian jie ma 	编解码	c=1 d=0.0569 t=3923
bian jie xian 	邊界線	c=1 d=0.0005 t=76495
bian jie xing 	便捷性	c=2 d=0.0005 t=76495
bian lai bian qu 	變來變去	c=1 d=0.0005 t=76495
bian le 	变了	c=1 d=1.9801 t=3923
bian le 	變了	c=4 d=0.0005 t=76495
bian li 	遍歷	c=7 d=4.2395 t=76495
bian li qi 	遍歷器	c=1 d=0.0005 t=76495
bian liang 	变量	c=5 d=1.0720 t=3923
bian liang 	變量	c=24 d=0.3108 t=76495
bian liang ming 	变量名	c=1 d=0.0005 t=76495
bian ma 	編碼	c=10 d=0.0005 t=76495
bian ma 	编码	c=2 d=3.7020 t=3923
bian ma jie ma qi 	編碼解碼器	c=2 d=0.0005 t=76495
bian shang 	邊上	c=1 d=0.0005 t=76495
bian sheng 	變聲	c=1 d=0.0005 t=76495
bian shi 	鞭屍	c=1 d=0.0005 t=76495
bian su 	變速	c=1 d=0.0005 t=76495
bian wei 	變味	c=1 d=1.3092 t=76495
bian xie 	編寫	c=3 d=0.2186 t=76495
bian xie 	编写	c=1 d=0.0580 t=3923
bian xie zhe 	編寫者	c=1 d=0.0005 t=76495
bian xing 	變性	c=1 d=0.0005 t=76495
bian yi 	編譯	c=8 d=0.0005 t=76495
bian yi 	编译	c=3 d=0.5562 t=3923
bian yi qi 	編譯器	c=1 d=0.0005 t=76495
bian yi shi 	编译时	c=1 d=0.0059 t=76495
bian yu 	便於	c=2 d=0.0005 t=76495
bian yuan 	邊緣	c=1 d=0.0005 t=76495
bian zhen 	砭鍼	c=1 d=0.0005 t=76495
bian zu 	編組	c=14 d=0.0097 t=76495
biao 	表	c=47 d=5.6119 t=40209
biao 	骠	c=3 d=2.4548 t=76495
biao da 	表達	c=1 d=0.0005 t=76495
biao da shi 	表達式	c=1 d=3.2852 t=76495
biao dan 	表單	c=1 d=0.0005 t=76495
biao de 	表的	c=1 d=0.0005 t=76495
biao ji 	標記	c=39 d=0.2557 t=76495
biao ji zu 	標記組	c=5 d=0.0005 t=76495
biao ming 	标明	c=1 d=0.0002 t=3923
biao ming 	標明	c=10 d=0.3057 t=76495
biao ming 	表名	c=8 d=0.0005 t=76495
biao qian 	标签	c=1 d=0.0084 t=3923
biao qian 	標籤	c=46 d=0.2632 t=76495
biao qin 	表親	c=1 d=0.0005 t=76495
biao qing 	表情	c=7 d=1.8381 t=40209
biao qing bao 	表情包	c=8 d=0.0005 t=76495
biao sheng 	飆升	c=2 d=0.0322 t=76495
biao shi 	标识	c=0 d=0.0008 t=3923
biao shi 	標識	c=10 d=0.4358 t=76495
biao shi 	表示	c=2 d=0.6247 t=76495
biao ti 	标题	c=3 d=0.0783 t=3923
biao ti 	標題	c=8 d=0.0030 t=76495
biao tou 	標頭	c=1 d=0.0005 t=76495
biao xian 	表現	c=1 d=0.0005 t=76495
biao yan 	表演	c=1 d=0.0005 t=76495
biao zhi 	標誌	c=4 d=1.5250 t=76495
biao zhi wei 	標誌位	c=5 d=2.0533 t=76495
biao zhu 	標註	c=10 d=0.1429 t=76495
biao zhun 	標準	c=4 d=1.3779 t=76495
biao zhun ku 	標準庫	c=2 d=0.0060 t=76495
biao zi duan 	表字段	c=2 d=0.0005 t=76495
bie 	別	c=19 d=0.4053 t=76495
bie 	别	c=1 d=0.0002 t=3923
bie bie bie 	别别别	c=4 d=2.4705 t=76495
bie cao zuo 	別操作	c=2 d=0.0005 t=76495
bie che 	别扯	c=0 d=0.0005 t=76495
bie che le 	别扯了	c=1 d=0.0005 t=76495
bie chi 	別喫	c=1 d=0.0005 t=76495
bie chi le 	别吃了	c=1 d=0.0005 t=76495
bie chu qu 	別出去	c=1 d=0.0005 t=76495
bie dong 	別動	c=3 d=0.0005 t=76495
bie fa 	别发	c=1 d=0.0005 t=76495
bie fa ban 	別發版	c=1 d=0.0005 t=76495
bie gai 	別改	c=1 d=0.0005 t=76495
bie huang 	别慌	c=2 d=0.0005 t=76495
bie ji 	別急	c=1 d=0.0005 t=76495
bie jie zhu 	别借助	c=1 d=0.0017 t=3923
bie kan 	別看	c=1 d=0.0005 t=76495
bie kan le 	别看了	c=2 d=0.0005 t=76495
bie ma le bie ma le 	別罵了別罵了	c=1 d=0.0005 t=76495
bie ming 	別名	c=9 d=0.0321 t=76495
bie ming 	别名	c=2 d=0.2031 t=3923
bie niu 	彆扭	c=1 d=0.0005 t=76495
bie pao 	別跑	c=1 d=0.0005 t=76495
bie pian wo 	别骗我	c=1 d=0.0005 t=76495
bie ren 	別人	c=15 d=2.0636 t=76495
bie ren 	别人	c=1 d=0.2035 t=3923
bie ren bei 	別人背	c=1 d=0.0005 t=76495
bie ren de 	別人的	c=1 d=0.0005 t=76495
bie ren jia 	别人家	c=1 d=1.6152 t=76495
bie shan 	別刪	c=1 d=0.0005 t=76495
bie shan le 	別刪了	c=1 d=0.0005 t=76495
bie shuo 	別說	c=2 d=3.2525 t=76495
bie shuo le 	别说了	c=1 d=0.0005 t=76495
bie ti 	別提	c=0 d=0.0005 t=76495
bie ti ren 	別提人	c=1 d=0.0005 t=76495
bie wang le 	別忘了	c=1 d=0.0005 t=76495
bie wen 	別問	c=1 d=2.1802 t=76495
bie xia wo 	别吓我	c=1 d=0.0005 t=76495
bie xiang le 	别想了	c=1 d=0.0005 t=76495
bie xu 	別續	c=1 d=0.0005 t=76495
bie zai 	別在	c=2 d=0.0005 t=76495
bie zhe 	憋着	c=1 d=0.0005 t=76495
bie zhe yang 	别这样	c=1 d=0.0005 t=76495
bie zheng 	别整	c=3 d=0.0005 t=76495
bie zheng le 	别整了	c=1 d=0.0005 t=76495
bie zhuang le 	別装了	c=1 d=4.0732 t=76495
bing 	並	c=38 d=0.0019 t=76495
bing 	兵	c=1 d=0.0005 t=76495
bing 	冰	c=3 d=0.0007 t=40209
bing 	并	c=1 d=0.4739 t=3923
bing 	病	c=0 d=0.0336 t=76495
bing an zhao 	並按照	c=1 d=0.0005 t=76495
bing bing 	冰冰	c=2 d=0.0027 t=76495
bing bu cun zai 	並不存在	c=1 d=0.0005 t=76495
bing cun 	並存	c=1 d=0.0005 t=76495
bing de 	病得	c=1 d=0.0005 t=76495
