# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	76495
#@/user_id	rime-windows
a 	啊	c=34 d=0.00152301 t=76495
an jiu 	暗九	c=1 d=2.97418e-29 t=76495
an li 	按例	c=1 d=9.42085e-05 t=76495
an li 	案例	c=7 d=4.99669e-15 t=76495
an mian yao 	安眠藥	c=1 d=3.72971e-45 t=76495
an niu 	按鈕	c=18 d=0.106237 t=76495
an pai 	安排	c=12 d=0.0131675 t=76495
an pai dian 	安排點	c=1 d=5.87647e-70 t=76495
an pai shang 	安排上	c=1 d=4.59704e-93 t=76495
an pi 	按批	c=1 d=9.21203e-06 t=76495
an quan 	安全	c=2 d=9.25148e-75 t=76495
an shi 	按時	c=1 d=1.92103e-63 t=76495
an tu cheng 	安土城	c=1 d=8.59572e-103 t=76495
an xin 	安心	c=1 d=1.1754e-107 t=76495
an yue 	按月	c=1 d=1.82367e-10 t=76495
an zhao 	按照	c=98 d=0.819481 t=76495
an zhuang 	安裝	c=27 d=1.30103 t=76495
an zhuo 	安卓	c=223 d=2.9807 t=76495
an zhuo 	案桌	c=1 d=1.5779e-101 t=76495
an zhuo le 	安卓了	c=1 d=1.72508e-62 t=76495
an zhuo mei you 	安卓沒有	c=2 d=1.79652e-10 t=76495
an zu 	按組	c=1 d=2.6247e-29 t=76495
ang 	昂	c=1 d=3.05925e-96 t=76495
ang ang 	昂昂	c=0 d=1.66264e-41 t=76495
ao 	奧	c=1 d=1.04404e-07 t=76495
ao 	熬	c=0 d=0.0782705 t=76495
ao ao 	凹凹	c=1 d=9.43981e-58 t=76495
ao ao 	嗷嗷	c=3 d=2.73629e-18 t=76495
ao guo le 	熬過了	c=1 d=0.786628 t=76495
ao li gei 	奧力給	c=1 d=9.6128e-07 t=76495
ao men 	澳門	c=4 d=0.325841 t=76495
ao ri 	奥日	c=1 d=5.74035e-59 t=76495
ao te man 	奧特曼	c=1 d=6.48036e-15 t=76495
ba 	八	c=2 d=2.37169e-14 t=76495
ba 	叭	c=3 d=1.49773e-89 t=76495
ba 	吧	c=256 d=1.7948 t=76495
ba 	壩	c=1 d=0.540641 t=76495
ba 	把	c=340 d=2.64927 t=76495
ba 	霸	c=1 d=4.28813e-10 t=76495
ba ba 	吧吧	c=1 d=4.71453e-37 t=76495
ba ba 	爸爸	c=1 d=2.71718e-54 t=76495
ba ba 	粑粑	c=0 d=0.0798516 t=76495
ba bai ban 	八佰伴	c=1 d=5.19707e-07 t=76495
ba gu wen 	八股文	c=6 d=6.97913e-05 t=76495
ba gua 	八卦	c=2 d=0.204948 t=76495
ba hao xian 	八號線	c=1 d=5.48665e-86 t=76495
ba huo guan 	拔火罐	c=1 d=3.51023e-08 t=76495
ba ji si tan 	巴基斯坦	c=1 d=2.18593e-24 t=76495
ba jiu dian 	八九點	c=1 d=0.110803 t=76495
ba kong 	把控	c=4 d=3.23979e-06 t=76495
ba na 	把那	c=0 d=2.51014e-05 t=76495
ba na ge 	把那個	c=1 d=8.44328e-69 t=76495
ba ni 	把你	c=4 d=0.238115 t=76495
ba ni de 	把你的	c=2 d=2.60805e-13 t=76495
ba ni men 	把你们	c=1 d=1.00249e-88 t=76495
ba qu 	八區	c=1 d=6.52394e-35 t=76495
ba ta 	把她	c=1 d=1.54334e-17 t=76495
ba ta 	把它	c=10 d=0.13399 t=76495
ba tian 	八天	c=1 d=3.48667e-17 t=76495
ba wo 	把我	c=3 d=1.83313e-12 t=76495
ba wo 	把握	c=1 d=1.74337e-39 t=76495
ba wo men 	把我们	c=1 d=4.37327e-06 t=76495
ba xi 	巴西	c=1 d=8.3337e-33 t=76495
ba yue di 	八月底	c=1 d=1.05921e-59 t=76495
ba zhe ge 	把这个	c=3 d=0.00123091 t=76495
ba zhe li 	把这里	c=1 d=8.37717e-06 t=76495
ba zhe xie 	把這些	c=1 d=7.65331e-32 t=76495
ba zi 	巴子	c=0 d=1.64184e-40 t=76495
bai 	白	c=2 d=0.00285814 t=76495
bai de 	白的	c=0 d=4.81304e-46 t=76495
bai du 	百度	c=5 d=5.06876e-07 t=76495
bai du tie ba 	百度貼吧	c=1 d=4.20639e-107 t=76495
bai fen bi 	白粉筆	c=1 d=2.99784e-34 t=76495
bai fen bi 	百分比	c=2 d=6.56622e-34 t=76495
bai jiang le 	白讲了	c=1 d=1.09009e-103 t=76495
bai lai kuai 	百來塊	c=1 d=0.00019647 t=76495
bai ling 	白領	c=1 d=3.8352e-79 t=76495
bai ma 	白馬	c=0 d=0.0390628 t=76495
bai ma yi cong 	白馬義從	c=1 d=0.392586 t=76495
bai ming dan 	白名单	c=2 d=4.87235e-42 t=76495
bai piao 	拜票	c=1 d=4.99621e-102 t=76495
bai piao 	白嫖	c=10 d=0.160135 t=76495
bai piao dang 	白嫖党	c=1 d=2.31969e-105 t=76495
bai piao guai 	白嫖怪	c=3 d=1.80989e-09 t=76495
bai ren 	白人	c=2 d=7.40416e-24 t=76495
bai tian 	白天	c=1 d=0.375311 t=76495
bai tuo 	擺脫	c=2 d=2.62381e-25 t=76495
bai tuo le 	拜託了	c=1 d=1.53241e-51 t=76495
bai wan 	百萬	c=3 d=4.84489e-05 t=76495
bai wu chang 	白無常	c=1 d=5.16203e-45 t=76495
bai yun dou 	白芸豆	c=1 d=0.0287246 t=76495
ban 	半	c=4 d=0.00606634 t=76495
ban 	搬	c=2 d=3.09746e-95 t=76495
ban 	版	c=5 d=0.946485 t=76495
ban 	班	c=1 d=0.562705 t=76495
ban 	辦	c=2 d=4.15621e-50 t=76495
ban ben 	版本	c=84 d=1.79543 t=76495
ban ben hao 	版本號	c=2 d=4.06834e-38 t=76495
ban bu 	搬不	c=1 d=1.21979e-102 t=76495
ban bu 	頒佈	c=1 d=7.9211e-112 t=76495
ban bu cheng 	辦不成	c=1 d=0.00267181 t=76495
ban dao 	搬到	c=3 d=0.50409 t=76495
ban fa 	辦法	c=5 d=4.17218e-11 t=76495
ban fen zhong 	半分鐘	c=1 d=1.21024e-39 t=76495
ban gong 	辦公	c=1 d=2.02378e-29 t=76495
ban gong shi 	辦公室	c=2 d=1.42861e-20 t=76495
ban guo lai 	搬过来	c=1 d=8.95043e-20 t=76495
ban jin ba liang 	半斤八兩	c=1 d=0.0731678 t=76495
ban ka 	辦卡	c=1 d=1.10495e-27 t=76495
ban li 	辦理	c=7 d=0.782705 t=76495
ban mian 	板面	c=1 d=3.80258e-08 t=76495
ban nian 	半年	c=1 d=4.06972e-42 t=76495
ban shu 	半數	c=1 d=5.28876e-95 t=76495
ban si 	半死	c=0 d=3.84015e-07 t=76495
ban si bu guo 	半死不過	c=1 d=3.8594e-06 t=76495
ban tian 	半天	c=1 d=0.000432902 t=76495
ban xia 	半夏	c=0 d=0.0139457 t=76495
ban xia lian 	半夏戀	c=1 d=0.140156 t=76495
ban xiao shi 	半小時	c=5 d=1.24675e-06 t=76495
ban yi xia 	搬一下	c=1 d=1.51629e-103 t=76495
ban yun 	搬運	c=2 d=3.4681e-13 t=76495
ban zhuan 	搬砖	c=2 d=0.000147504 t=76495
ban zhuan 	板磚	c=1 d=7.19168e-05 t=76495
ban zhuan ba 	板磚把	c=1 d=1.82858e-71 t=76495
bang 	綁	c=2 d=6.44256e-05 t=76495
bang 	邦	c=3 d=5.10073e-32 t=76495
bang ding 	綁定	c=27 d=0.0673772 t=76495
bang lian 	邦聯	c=1 d=1.50339e-32 t=76495
bang mang 	幫忙	c=14 d=0.241057 t=76495
bang ni 	幫你	c=7 d=0.26982 t=76495
bang ta 	幫他	c=3 d=0.00178203 t=76495
bang wo 	幫我	c=4 d=0.740818 t=76495
bang zhi jian 	邦之間	c=1 d=1.62048e-32 t=76495
bang zhu 	幫助	c=3 d=0.0267827 t=76495
bao 	包	c=51 d=1.20295 t=76495
bao 	報	c=14 d=0.546074 t=76495
bao 	寶	c=0 d=0.00330412 t=76495
bao 	爆	c=1 d=1.86013e-37 t=76495
bao 	飽	c=0 d=8.85685e-15 t=76495
bao an 	保安	c=2 d=4.95809e-12 t=76495
bao bian liang 	包變量	c=4 d=6.39714e-10 t=76495
bao bu liao 	報不了	c=1 d=0.000157671 t=76495
bao bu liao cu o 	包不了粗哦	c=1 d=0.000156885 t=76495
bao chi 	保持	c=5 d=0.0365162 t=76495
bao chu 	報出	c=2 d=9.16762e-08 t=76495
bao chu lai 	報出來	c=1 d=2.82173e-57 t=76495
bao chu lai 	抱出來	c=8 d=1.1804e-10 t=76495
bao chu qu 	報出去	c=1 d=9.32968e-67 t=76495
bao cun 	保存	c=21 d=0.0122773 t=76495
bao cun 	抱存	c=1 d=2.65893e-05 t=76495
bao cuo 	報錯	c=44 d=0.062318 t=76495
bao cuo dian 	報錯點	c=1 d=1.43695e-59 t=76495
bao cuo la 	报错啦	c=1 d=2.11952e-14 t=76495
bao de 	報的	c=7 d=7.67867e-11 t=76495
bao de ba 	報的吧	c=1 d=3.83349e-15 t=76495
bao de cuo 	报的错	c=2 d=4.27779e-11 t=76495
bao di 	保底	c=1 d=4.30582e-29 t=76495
bao di 	寶地	c=1 d=1.42221e-27 t=76495
bao di zhi 	包地址	c=1 d=0.025223 t=76495
bao ding 	保定	c=1 d=4.96754e-05 t=76495
bao fa 	爆發	c=2 d=6.55915e-32 t=76495
duo da 	多打	c=1 d=7.32479e-103 t=76495
duo da 	多達	c=1 d=1.24295e-88 t=76495
duo da dian shi 	多大點事	c=0 d=5.74897e-107 t=76495
duo da dian shi san dian shui de 	多大點事三点睡的	c=1 d=5.77778e-106 t=76495
duo duo 	朵朵	c=3 d=0.677424 t=76495
duo fa 	多發	c=5 d=0.0227088 t=76495
duo fa sa duo fa sa 	多發颯多發颯	c=1 d=5.87747e-72 t=76495
duo fa shi de fa sheng fa 	多發是的發聲法	c=1 d=5.84816e-72 t=76495
duo ge 	多個	c=24 d=1.02548e-09 t=76495
duo gei 	多給	c=2 d=1.42609e-58 t=76495
duo hang 	多行	c=6 d=1.87041e-06 t=76495
duo he dian 	多喝點	c=1 d=8.36266e-15 t=76495
duo jie dian 	多節點	c=1 d=5.81583e-95 t=76495
duo jiu 	多久	c=9 d=0.412396 t=76495
duo kai 	多開	c=3 d=0.759572 t=76495
duo kan dian 	多看點	c=1 d=1.32575e-82 t=76495
duo lai 	多來	c=1 d=6.54751e-48 t=76495
duo le 	多了	c=4 d=3.51087e-20 t=76495
duo nian 	多年	c=1 d=8.89339e-33 t=76495
duo nian 	躲年	c=1 d=8.84903e-33 t=76495
duo qi 	多起	c=1 d=5.99965e-20 t=76495
duo quan xian 	多權限	c=2 d=5.14523e-93 t=76495
duo shao 	多少	c=29 d=0.0676444 t=76495
duo shao 	多燒	c=3 d=7.59407e-13 t=76495
duo shao ge 	多少個	c=4 d=0.000160053 t=76495
duo shao miao 	多少秒	c=7 d=3.92787e-07 t=76495
duo shao miao 	多燒秒	c=1 d=8.14126e-111 t=76495
duo shao ren 	多少人	c=2 d=1.35317e-28 t=76495
duo shao tiao 	多少條	c=1 d=2.03836e-84 t=76495
duo shua 	多刷	c=1 d=1.31063e-06 t=76495
duo tiao 	多條	c=4 d=5.32286e-53 t=76495
duo wan 	多萬	c=1 d=3.22803e-22 t=76495
duo wen jian 	多文件	c=1 d=8.05614e-105 t=76495
duo xiang 	多香	c=1 d=3.52291e-21 t=76495
duo xiao shi 	多小時	c=1 d=1.21168e-53 t=76495
duo xuan 	多選	c=3 d=1.24692e-08 t=76495
duo ye mian 	多頁面	c=1 d=2.08641e-64 t=76495
duo yi dian 	多一點	c=2 d=3.89938e-39 t=76495
duo yin zi 	多音字	c=2 d=8.25807e-14 t=76495
duo yong 	多用	c=1 d=1.66699e-12 t=76495
duo yu 	多餘	c=3 d=8.92277e-13 t=76495
duo yun 	多雲	c=2 d=7.19875e-38 t=76495
duo zhang 	多張	c=0 d=6.08145e-92 t=76495
duo zhang hao 	多張好	c=1 d=6.11194e-91 t=76495
duo zui 	多嘴	c=1 d=1.42954e-57 t=76495
e 	哦	c=1 d=2.39586e-44 t=76495
e 	屙	c=3 d=0.798516 t=76495
e 	額	c=23 d=0.756161 t=76495
e gao 	惡搞	c=0 d=1.22878e-13 t=76495
e le 	饿了	c=4 d=1.44125e-06 t=76495
e lie 	惡劣	c=1 d=5.48478e-82 t=76495
e meng 	噩夢	c=1 d=2.89483e-05 t=76495
e ren 	惡人	c=1 d=2.76474e-111 t=76495
e shi 	俄式	c=1 d=2.79812e-17 t=76495
e wai 	額外	c=3 d=8.10861e-05 t=76495
e xin 	噁心	c=28 d=0.582012 t=76495
e yi 	惡意	c=1 d=1.81236e-25 t=76495
ei 	誒	c=3 d=5.64238e-33 t=76495
ei ya 	诶呀	c=4 d=0.00489275 t=76495
ei yo 	诶哟	c=1 d=1.95351e-25 t=76495
en 	恩	c=28 d=0.425601 t=76495
en wu 	恩吳	c=1 d=2.07643e-37 t=76495
eng hui 	嗯會	c=1 d=5.68342e-30 t=76495
er 	二	c=5 d=2.931e-05 t=76495
er 	而	c=18 d=0.744532 t=76495
er 	耳	c=0 d=1.64184e-40 t=76495
er ba zi 	耳巴子	c=1 d=1.65007e-39 t=76495
er bu shi 	而不是	c=15 d=0.439594 t=76495
er ci 	二次	c=2 d=1.0365e-10 t=76495
er ci yuan 	二次元	c=1 d=3.72059e-75 t=76495
er fei 	而非	c=1 d=1.28653e-111 t=76495
er fen zhi yi 	二分之一	c=1 d=2.07058e-92 t=76495
er gui zi 	二鬼子	c=2 d=1.71713e-25 t=76495
er hun 	二婚	c=1 d=1.70356e-32 t=76495
er ji 	耳機	c=2 d=0.00337959 t=76495
er ji neng 	二技能	c=1 d=0.190139 t=76495
er jin zhi 	二進制	c=2 d=2.14491e-07 t=76495
er lie 	二列	c=1 d=0.198891 t=76495
er mao zi 	二毛子	c=1 d=2.38148e-32 t=76495
er mian 	二麪	c=1 d=0.053397 t=76495
er pang feng 	耳旁風	c=1 d=1.49325e-70 t=76495
er qie 	而且	c=20 d=0.000147034 t=76495
er ru 	而入	c=2 d=1.45272e-11 t=76495
er shi 	二十	c=1 d=2.32434e-11 t=76495
er shi 	而是	c=6 d=7.23265e-13 t=76495
er shi fen zhong 	二十分钟	c=1 d=0.0769192 t=76495
er shi qi 	二十七	c=0 d=3.8074e-112 t=76495
er shi qi ba 	二十七八	c=1 d=3.82648e-111 t=76495
er shi yi 	二十一	c=1 d=6.90175e-109 t=76495
er tai 	二胎	c=1 d=2.13146e-80 t=76495
er wei ma 	二維碼	c=36 d=1.00068e-08 t=76495
er wu fa 	而無法	c=1 d=4.29909e-40 t=76495
er xuan yi 	二選一	c=1 d=0.00211225 t=76495
er yi 	而以	c=15 d=0.891366 t=76495
er zhan 	二戰	c=2 d=4.27183e-24 t=76495
er zhe 	二者	c=1 d=0.000169951 t=76495
er zhi hua 	二值化	c=1 d=8.32723e-112 t=76495
er zi 	兒子	c=1 d=0.00124328 t=76495
fa 	法	c=2 d=0.126187 t=76495
fa 	發	c=65 d=0.913533 t=76495
fa ba 	发吧	c=1 d=1.46389e-101 t=76495
fa ban 	發版	c=50 d=1.027 t=76495
fa ban le 	發版了	c=3 d=0.70822 t=76495
fa bi 	法幣	c=1 d=4.00124e-107 t=76495
fa bu 	發不	c=0 d=3.25184e-80 t=76495
fa bu 	發佈	c=15 d=1.27871e-10 t=76495
fa bu chu 	發不出	c=2 d=3.98032e-17 t=76495
fa bu chu lai 	發不出來	c=1 d=6.30921e-53 t=76495
fa bu chu qu 	發不出去	c=1 d=4.00027e-16 t=76495
fa bu hui 	發佈會	c=1 d=0.000105163 t=76495
fa bu le 	发布了	c=2 d=3.83076e-36 t=76495
fa bu liao 	發不了	c=4 d=2.54895e-08 t=76495
fa bu qian 	發佈前	c=1 d=4.16525e-109 t=76495
fa ce shi 	發測試	c=2 d=0.0131019 t=76495
fa che 	發車	c=1 d=3.46363e-86 t=76495
fa chu 	發出	c=1 d=0.000202454 t=76495
fa chu lai 	發出來	c=4 d=0.060205 t=76495
fa chu qu 	發出去	c=1 d=2.28492e-45 t=76495
fa cuo 	發錯	c=4 d=4.71621e-19 t=76495
fa cuo da kai si fa ju kai sa du nai fen kai sa du nai fen 	發錯打開司法局凱撒毒奶粉凱撒毒奶粉	c=1 d=9.43208e-19 t=76495
fa cuo le 	发错了	c=1 d=1.80885e-61 t=76495
fa da 	發達	c=0 d=0.099005 t=76495
fa dao 	發到	c=6 d=6.20596e-06 t=76495
fa de 	發的	c=5 d=0.0418952 t=76495
fa de sha 	發的啥	c=1 d=1.01819e-65 t=76495
fa duo le 	發多了	c=1 d=7.29369e-53 t=76495
fa fa 	發發	c=0 d=4.30802e-36 t=76495
fa fa fa 	發發發	c=1 d=4.32961e-35 t=76495
fa fa fa fa fa fa fa fa 	发发发发发发发发	c=0 d=0.000323088 t=76495
fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 	发发发发发发发发发发发发发发发发	c=1 d=0.00324708 t=76495
fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa feng fu fang fang fang fa fa fa fa fa fa fa fa 	发发发发发发发发发发发发发发发发豐富方芳芳发发发发发发发发	c=1 d=7.22896e-07 t=76495
fa fan fan fu fu 	發反反覆覆	c=1 d=6.43405e-107 t=76495
fa ge 	發個	c=4 d=1.30117e-10 t=76495
fa ge ban 	發個版	c=1 d=2.0993e-107 t=76495
fa gei 	發給	c=7 d=0.295292 t=76495
fa gei ni 	發給你	c=3 d=0.0581343 t=76495
fa gei shui 	發給誰	c=2 d=2.10931e-16 t=76495
fa gei wo 	发给我	c=4 d=0.00131358 t=76495
fa gong gao 	發公告	c=3 d=1.41734e-44 t=76495
fa guo 	法國	c=2 d=8.25642e-24 t=76495
fa guo lai 	發過來	c=1 d=5.36538e-30 t=76495
fa guo qu 	發過去	c=0 d=8.37717e-07 t=76495
fa guo ren 	法國人	c=2 d=1.111e-23 t=76495
fa hua 	發話	c=1 d=3.40648e-08 t=76495
fa hui 	發揮	c=0 d=1.18587e-36 t=76495
fa huo 	發火	c=1 d=2.32545e-46 t=76495
fa lan xi 	法蘭西	c=1 d=4.06349e-24 t=76495
fa le 	發了	c=31 d=1.12168 t=76495
fa le ma 	發了嗎	c=1 d=9.95488e-36 t=76495
fa le ya 	發了呀	c=1 d=0.0972957 t=76495
fa li 	發力	c=1 d=6.99295e-87 t=76495
fa lv 	法律	c=1 d=1.45762e-80 t=76495
fa mei wen ti 	發沒問題	c=1 d=2.54965e-70 t=76495
fa ni 	发你	c=4 d=4.82155e-07 t=76495
fa ou 	發嘔	c=0 d=0.0196912 t=76495
fa ou shi na ge 	發嘔是哪个	c=3 d=0.197899 t=76495
fa qi 	發起	c=32 d=0.366045 t=76495
fa qi de 	发起的	c=1 d=3.24842e-96 t=76495
fa qi lai 	發起來	c=1 d=4.976e-25 t=76495
fa qi le 	發起了	c=1 d=1.35023e-62 t=76495
fa quan 	髮圈	c=1 d=7.0661e-33 t=76495
fa shang lai 	發上來	c=1 d=4.02198e-109 t=76495
fa shang qu 	發上去	c=4 d=2.70565e-05 t=76495
fa shang qu le 	發上去了	c=1 d=0.000271921 t=76495
fa shao 	發燒	c=1 d=3.20364e-21 t=76495
fa sheng 	發生	c=5 d=5.2611e-05 t=76495
fa sheng de 	發生地	c=0 d=4.0163e-07 t=76495
fa sheng de fa sheng de 	發生地發生地	c=2 d=3.3552e-06 t=76495
fa sheng fa 	發聲法	c=0 d=5.81899e-73 t=76495
fa sheng yi ci 	發生一次	c=1 d=8.48822e-102 t=76495
fa song 	發送	c=339 d=2.06291 t=76495
fa song da fa shi da fu 	發送打發士大夫	c=2 d=1.81101e-75 t=76495
fa song gong gao 	發送公告	c=1 d=7.1444e-45 t=76495
fa song guo 	發送過	c=2 d=0.00543443 t=76495
fa song jie guo 	發送結果	c=1 d=3.99525e-60 t=76495
fa song le 	发送了	c=1 d=6.12939e-07 t=76495
fa song zhe 	發送者	c=30 d=0.000119165 t=76495
fa song zhong 	发送中	c=7 d=1.11993e-09 t=76495
fa tu pian 	發圖片	c=2 d=4.93504e-16 t=76495
fa wan 	發完	c=9 d=0.941765 t=76495
fa wan ban 	發完版	c=1 d=2.14112e-45 t=76495
fa wan le 	发完了	c=11 d=5.87897e-07 t=76495
fa wo 	发我	c=36 d=0.396131 t=76495
fa xia 	發下	c=1 d=3.41624e-71 t=76495
fa xia 	罰下	c=1 d=3.39921e-71 t=76495
fa xian 	發現	c=24 d=0.554327 t=76495
fa xian le 	发现了	c=1 d=5.08188e-08 t=76495
fa xiao xi 	發消息	c=19 d=0.093349 t=76495
fa xing ban 	发行版	c=1 d=7.56685e-15 t=76495
fa yan 	發言	c=8 d=8.35555e-05 t=76495
fa yi bo 	發一撥	c=1 d=1.02511e-27 t=76495
fa yi ci 	发一次	c=2 d=5.30387e-11 t=76495
fa yi ge 	发一个	c=3 d=1.57725e-08 t=76495
fa yi tiao 	發一條	c=4 d=3.49212e-06 t=76495
fa yi xia 	发一下	c=9 d=0.955997 t=76495
fa yu 	發育	c=1 d=2.56303e-14 t=76495
fa zhan 	發展	c=3 d=3.5174e-32 t=76495
fa zhe ge 	發這個	c=1 d=6.14088e-29 t=76495
fa zhi qian 	發之前	c=1 d=1.19242e-41 t=76495
fan 	反	c=3 d=2.47918e-05 t=76495
fan 	煩	c=2 d=9.04808e-30 t=76495
fan 	犯	c=1 d=1.44971e-17 t=76495
fan 	翻	c=2 d=2.12429e-11 t=76495
fan 	范	c=1 d=7.09622e-83 t=76495
fan 	飯	c=5 d=9.8263e-14 t=76495
fan ban 	帆板	c=1 d=9.0131e-102 t=76495
fan bu fan fa 	犯不犯法	c=1 d=1.45697e-16 t=76495
fan bu shen fan 	煩不甚煩	c=1 d=4.56338e-36 t=76495
fan dao 	反倒	c=1 d=6.54104e-07 t=76495
fan de 	反的	c=1 d=0.0448245 t=76495
fan de sa 	范德薩	c=1 d=0.099005 t=76495
fan de sa fa da shi 	范德薩發達是	c=1 d=0.995012 t=76495
fan de sa fa sheng de 	范德薩發生地	c=3 d=0.000118078 t=76495
fan de sa fa song 	范德薩發送	c=1 d=3.5449e-06 t=76495
fan de sa fa song de fang dao sha fa dian 	范德薩發送的放到沙發墊	c=1 d=2.9501e-51 t=76495
fan de sa fa song dian feng shan 	范德薩發送電風扇	c=1 d=5.80674e-106 t=76495
fan de sa fan de sa fa sheng de 	范德薩范德薩發生地	c=1 d=3.39769e-07 t=76495
fan de sa fei 	范德薩非	c=1 d=2.44048e-23 t=76495
fan de sa fei da su du fa shao deng fei 	范德薩非打速讀法稍等非	c=1 d=2.05332e-23 t=76495
fan de sa fei su du fa shao deng fei 	范德薩非速讀法稍等非	c=1 d=2.04308e-23 t=76495
fan de sa kuai ji fa na kuan shi de nuo fu ke shi de ne 	范德薩會計法哪款是的諾福克是的呢	c=1 d=9.38504e-19 t=76495
fan de sa nan de ke fu na shi de 	范德薩难得克服那时的	c=1 d=3.38074e-07 t=76495
fan dui 	反對	c=2 d=4.68359e-98 t=76495
fan dui dang 	反對黨	c=0 d=1.63426e-15 t=76495
fan dui dang shou fu shi de 	反對黨收復失地	c=1 d=1.64245e-14 t=76495
fan dui fan dui fa 	反对反对法	c=0 d=3.62588e-08 t=76495
fan dui fan dui fa de 	反对反对法的	c=2 d=3.64405e-07 t=76495
fan dui pai 	反對派	c=1 d=2.98238e-32 t=76495
fan er sai 	凡爾賽	c=1 d=0.000102055 t=76495
fan fa 	犯法	c=0 d=1.44971e-17 t=76495
fan fan fu fu 	反反覆覆	c=17 d=0.00194581 t=76495
fan gan 	反感	c=2 d=2.2106e-09 t=76495
fan gei 	反給	c=2 d=0.00629818 t=76495
fan gei ni 	反給你	c=2 d=0.0281559 t=76495
fan gei wo 	反給我	c=2 d=0.0632918 t=76495
fan guo lai 	反過來	c=1 d=3.36492e-40 t=76495
fan hua 	反華	c=1 d=4.98804e-24 t=76495
fan hui 	返回	c=167 d=0.546844 t=76495
fan hui kong 	返回空	c=1 d=7.73681e-41 t=76495
fan hui zhi 	返回值	c=9 d=5.23664e-08 t=76495
fan jie 	反解	c=1 d=2.03746e-20 t=76495
fan jie xi 	泛解析	c=1 d=7.75287e-36 t=76495
fan ju 	飯局	c=1 d=5.52748e-85 t=76495
fan kui 	反饋	c=4 d=0.0472367 t=76495
fan kui o 	反饋哦	c=1 d=0.474734 t=76495
fan lan 	氾濫	c=1 d=2.9342e-105 t=76495
fan le 	反了	c=2 d=7.90681e-32 t=76495
fan le 	煩了	c=1 d=6.24643e-53 t=76495
fan le 	翻了	c=1 d=3.20811e-08 t=76495
fan mai 	販賣	c=1 d=4.77276e-05 t=76495
fan nao 	煩惱	c=1 d=2.17052e-29 t=76495
fan pai 	反派	c=1 d=3.08977e-07 t=76495
fan qian 	飯前	c=1 d=3.56438e-41 t=76495
fan qiang 	翻牆	c=1 d=2.8411e-108 t=76495
fan qie 	番茄	c=1 d=5.88906e-07 t=76495
fan she 	反射	c=9 d=0.00143728 t=76495
fan shi 	凡是	c=1 d=7.07331e-45 t=76495
fan shi 	範式	c=1 d=1.78368e-102 t=76495
fan shu 	番薯	c=1 d=3.69586e-26 t=76495
fan suo 	繁瑣	c=1 d=1.95544e-66 t=76495
fan tan fu 	反貪腐	c=0 d=4.72608e-08 t=76495
fan ti 	繁體	c=2 d=2.72545e-21 t=76495
fan ti zi 	繁體字	c=1 d=1.28954e-21 t=76495
fan wei 	範圍	c=6 d=0.416862 t=76495
fan wei nei 	範圍內	c=1 d=4.24027e-25 t=76495
fan wo 	煩我	c=1 d=4.0339e-85 t=76495
fan xiang 	反向	c=3 d=8.44095e-07 t=76495
fan xiang 	反相	c=1 d=0.00135358 t=76495
fan xiang dai li 	反向代理	c=1 d=0.00140882 t=76495
